,Market_ID,Market_Name,Market_URL,Contract_ID,Contract_Name,bestBuyYesCost,bestBuyNoCost,BestSellYesCost,BestSellNoCost,Time_Stamp,Status
86,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12724,Federico Moreno,0.01,0.0,0.0,0.99,2020-09-07T20:14:25.48771,Open
87,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12725,William Pryor,0.01,0.0,0.0,0.99,2020-09-07T20:14:25.48771,Open
88,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12726,Margaret A. Ryan,0.01,0.0,0.0,0.99,2020-09-07T20:14:25.48771,Open
89,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12728,Timothy Tymkovich,0.01,0.0,0.0,0.99,2020-09-07T20:14:25.48771,Open
90,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12729,David Stras,0.01,0.0,0.0,0.99,2020-09-07T20:14:25.48771,Open
91,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12730,Diane Sykes,0.02,0.0,0.0,0.98,2020-09-07T20:14:25.48771,Open
92,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12731,Don Willett,0.01,0.0,0.0,0.99,2020-09-07T20:14:25.48771,Open
93,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12732,Robert Young,0.01,0.0,0.0,0.99,2020-09-07T20:14:25.48771,Open
94,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12734,Keith Blackwell,0.01,0.0,0.0,0.99,2020-09-07T20:14:25.48771,Open
95,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12735,Lindsey Graham,0.01,0.0,0.0,0.99,2020-09-07T20:14:25.48771,Open
96,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12736,Paul Clement,0.01,0.0,0.0,0.99,2020-09-07T20:14:25.48771,Open
97,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12737,Kevin Newsom,0.01,0.0,0.0,0.99,2020-09-07T20:14:25.48771,Open
98,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12740,Patrick Wyrick,0.02,0.0,0.0,0.98,2020-09-07T20:14:25.48771,Open
99,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12741,Andrew Napolitano,0.01,0.0,0.0,0.99,2020-09-07T20:14:25.48771,Open
100,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12742,Jeanine Pirro,0.01,0.0,0.0,0.99,2020-09-07T20:14:25.48771,Open
101,5158,Will Donald Trump complete his first term?,https://www.predictit.org/markets/detail/5158/Will-Donald-Trump-complete-his-first-term,13817,Will Donald Trump complete his first term?,0.88,0.13,0.87,0.12,2020-09-07T20:14:25.48771,Open
102,5179,Will Steve King be re-elected to the House from IA's 4th district?,https://www.predictit.org/markets/detail/5179/Will-Steve-King-be-re-elected-to-the-House-from-IA's-4th-district,13911,Will Steve King be re-elected to the House from IA's 4th district?,0.02,0.0,0.0,0.98,2020-09-07T20:14:25.48771,Open
103,5253,Which party will win the 2020 House of Reps race in Georgia's 7th district?,https://www.predictit.org/markets/detail/5253/Which-party-will-win-the-2020-House-of-Reps-race-in-Georgia's-7th-district,14248,Democratic,0.73,0.31,0.69,0.27,2020-09-07T20:14:25.48771,Open
104,5253,Which party will win the 2020 House of Reps race in Georgia's 7th district?,https://www.predictit.org/markets/detail/5253/Which-party-will-win-the-2020-House-of-Reps-race-in-Georgia's-7th-district,14249,Republican,0.32,0.71,0.29,0.68,2020-09-07T20:14:25.48771,Open
105,5542,Which party will win Wisconsin in the 2020 presidential election?,https://www.predictit.org/markets/detail/5542/Which-party-will-win-Wisconsin-in-the-2020-presidential-election,15703,Democratic,0.64,0.37,0.63,0.36,2020-09-07T20:14:25.48771,Open
106,5542,Which party will win Wisconsin in the 2020 presidential election?,https://www.predictit.org/markets/detail/5542/Which-party-will-win-Wisconsin-in-the-2020-presidential-election,15702,Republican,0.38,0.63,0.37,0.62,2020-09-07T20:14:25.48771,Open
107,5543,Which party will win Pennsylvania in the 2020 presidential election?,https://www.predictit.org/markets/detail/5543/Which-party-will-win-Pennsylvania-in-the-2020-presidential-election,15705,Democratic,0.64,0.37,0.63,0.36,2020-09-07T20:14:25.48771,Open
108,5543,Which party will win Pennsylvania in the 2020 presidential election?,https://www.predictit.org/markets/detail/5543/Which-party-will-win-Pennsylvania-in-the-2020-presidential-election,15704,Republican,0.39,0.62,0.38,0.61,2020-09-07T20:14:25.48771,Open
109,5544,Which party will win Florida in the 2020 presidential election?,https://www.predictit.org/markets/detail/5544/Which-party-will-win-Florida-in-the-2020-presidential-election,15707,Democratic,0.54,0.47,0.53,0.46,2020-09-07T20:14:25.48771,Open
110,5544,Which party will win Florida in the 2020 presidential election?,https://www.predictit.org/markets/detail/5544/Which-party-will-win-Florida-in-the-2020-presidential-election,15706,Republican,0.48,0.53,0.47,0.52,2020-09-07T20:14:25.48771,Open
111,5545,Which party will win Michigan in the 2020 presidential election?,https://www.predictit.org/markets/detail/5545/Which-party-will-win-Michigan-in-the-2020-presidential-election,15709,Democratic,0.69,0.32,0.68,0.31,2020-09-07T20:14:25.48771,Open
112,5545,Which party will win Michigan in the 2020 presidential election?,https://www.predictit.org/markets/detail/5545/Which-party-will-win-Michigan-in-the-2020-presidential-election,15708,Republican,0.33,0.68,0.32,0.67,2020-09-07T20:14:25.48771,Open
113,5554,Will Donald Trump win the popular vote in 2020?,https://www.predictit.org/markets/detail/5554/Will-Donald-Trump-win-the-popular-vote-in-2020,15772,Will Donald Trump win the popular vote in 2020?,0.21,0.8,0.2,0.79,2020-09-07T20:14:25.48771,Open
114,5596,Which party will win Arizona in the 2020 presidential election?,https://www.predictit.org/markets/detail/5596/Which-party-will-win-Arizona-in-the-2020-presidential-election,16000,Democratic,0.64,0.37,0.63,0.36,2020-09-07T20:14:25.48771,Open
